iter	TotalF1	MultiClass
0	0.6810904824	1.951926031
1	0.8949541141	1.755660307
2	0.9009267596	1.593175772
3	0.9153402863	1.459492013
4	0.92351196	1.349227814
5	0.9232056926	1.261092866
6	0.9211606923	1.180347359
7	0.9299981712	1.106003607
8	0.9378168571	1.041449776
9	0.9380668101	0.9824654365
10	0.9441324148	0.9281552267
11	0.9477016396	0.8809111949
12	0.9456494149	0.8349908055
13	0.9468014761	0.7915221865
14	0.9490551627	0.7549301846
15	0.9576025563	0.7154765364
16	0.9585405199	0.6813938125
17	0.9608085801	0.6533464096
18	0.9608006528	0.6266704259
19	0.9621557311	0.5965804978
20	0.9632067326	0.5685478723
21	0.963112979	0.5472585338
22	0.963119974	0.5251805929
23	0.9634098626	0.5047481082
24	0.9636261487	0.4868650139
25	0.9634352638	0.467047305
26	0.9636723124	0.4496784554
27	0.9640076734	0.431939714
28	0.9646490157	0.4158158234
29	0.9649033041	0.4013259534
30	0.9653206077	0.3872360669
31	0.9655009028	0.3722524099
32	0.9656104642	0.3613204141
33	0.9661048635	0.3492434339
34	0.9664185106	0.3380431924
35	0.9680401559	0.3251268229
36	0.9748662903	0.3119755664
37	0.9752554664	0.3020271662
38	0.97563849	0.2928058788
39	0.975697069	0.2836826848
40	0.9758977801	0.2743940946
41	0.9759529358	0.266203561
42	0.9760436893	0.2580334142
43	0.9760424239	0.2513411535
44	0.97670857	0.2429524527
45	0.9772429995	0.2343744291
46	0.9782956199	0.2265920271
47	0.9781827935	0.2194008229
48	0.9786673155	0.2129797664
49	0.9787683104	0.2058807499
50	0.9789402249	0.200156359
51	0.9793854147	0.194920184
52	0.9803885178	0.1884236163
53	0.981392928	0.1817827849
54	0.9817560619	0.1767030587
55	0.9818628153	0.1718806451
56	0.9822501582	0.1675964565
57	0.9828383537	0.1627869691
58	0.9839039266	0.158376724
59	0.9837665172	0.1550364794
60	0.9839081131	0.1513486919
61	0.9840176935	0.1480768607
62	0.9839628756	0.1443345502
63	0.9839351293	0.1413189677
64	0.9847425703	0.1368157504
65	0.984798015	0.134099253
66	0.9850769928	0.1295748445
67	0.9855473481	0.1251045965
68	0.9859925799	0.1212195972
69	0.9862161213	0.1182274621
70	0.9862709592	0.1160095582
71	0.9864391408	0.113775251
72	0.9864678591	0.1110525723
73	0.9864121494	0.108831346
74	0.9865790279	0.1069542852
75	0.9869964344	0.103621107
76	0.9869966031	0.1014963466
77	0.9871906386	0.09912066414
78	0.9871364376	0.0973788264
79	0.9874123422	0.09502675158
80	0.9876886362	0.09264741477
81	0.9878839275	0.09097170147
82	0.9881332663	0.08870959309
83	0.9882727287	0.08659849669
84	0.9886333482	0.08430692386
85	0.9884943508	0.08268064697
86	0.9887451635	0.07999427581
87	0.989244851	0.07745464351
88	0.9893832879	0.07534599342
89	0.9893553994	0.07414141657
90	0.9895218724	0.07202805862
91	0.9899938341	0.06985297476
92	0.9903267103	0.0684217085
93	0.9904660492	0.0666544929
94	0.9906311721	0.06533556924
95	0.9906876327	0.06415552541
96	0.9906605671	0.0631570351
97	0.9908812036	0.06166821739
98	0.9911859278	0.06037826834
99	0.9911580898	0.05929014766
100	0.9912689471	0.05840880537
101	0.9912962787	0.05728147801
102	0.9930389132	0.05616766531
103	0.9940893293	0.05539900277
104	0.9945042207	0.05375496352
105	0.9945040458	0.053011002
106	0.9947804505	0.05178959992
107	0.9947251198	0.05104794018
108	0.9948080234	0.05016047494
109	0.9951398992	0.04921572921
110	0.9961625306	0.0483506227
111	0.9963007874	0.04698662749
112	0.9963835828	0.04617963224
113	0.9964112129	0.04550808074
114	0.9964665689	0.04493291913
115	0.9965218462	0.04428470064
116	0.9966326074	0.04342736195
117	0.9966049368	0.04260936974
118	0.9966879484	0.04196053614
119	0.9968262596	0.04126700881
120	0.9968815327	0.04044020489
121	0.9970196971	0.0397726521
122	0.9971302703	0.03913517396
123	0.9972131145	0.03852395601
124	0.9972407877	0.03787129269
125	0.9972684015	0.0374055308
126	0.9973236982	0.03687516247
127	0.9974067302	0.0360918882
128	0.997544797	0.03531676289
129	0.997544797	0.03489606814
130	0.9976277182	0.03446472422
131	0.9976001356	0.03404078534
132	0.99773813	0.03337672355
133	0.9977105507	0.03290364001
134	0.9977105507	0.03243510455
135	0.9977657369	0.03185924285
136	0.997820992	0.03141727789
137	0.997820977	0.03090955668
138	0.9978761284	0.03054255607
139	0.9978761284	0.03015065207
140	0.9979865909	0.02956034573
141	0.9979590355	0.02913415083
142	0.9979590355	0.0288169882
143	0.9979590355	0.0285532894
144	0.9980143666	0.02821489824
145	0.9980419436	0.02779346383
146	0.998069499	0.02752072925
147	0.998069499	0.02729208074
148	0.998069499	0.02700848405
149	0.9980694775	0.02657559002
150	0.9981245509	0.02624534056
