iter	Passed	Remaining
0	437	174640
1	824	164058
2	1068	141436
3	1273	126075
4	1478	116785
5	1717	112780
6	2098	117789
7	2303	112849
8	2566	111512
9	2874	112086
10	3312	117155
11	3840	124183
12	4100	122066
13	4370	120499
14	4836	124130
15	5120	122883
16	5290	119191
17	5474	116176
18	5633	112959
19	6049	114944
20	6436	116164
21	6594	113297
22	6772	111011
23	7051	110471
24	7193	107901
25	7459	107297
26	7877	108819
27	8087	107454
28	8322	106470
29	8595	106012
30	8782	104538
31	8996	103463
32	9278	103183
33	9517	102455
34	9690	101062
35	9905	100156
36	10280	100856
37	10484	99876
38	10715	99185
39	10948	98534
40	11106	97253
41	11292	96258
42	11455	95108
43	11646	94227
44	11927	94091
45	12146	93474
46	12393	93085
47	12582	92268
48	12775	91512
49	13039	91273
50	13470	92177
51	13673	91507
52	13885	90909
53	14070	90156
54	14284	89604
55	14446	88742
56	14621	87984
57	14796	87245
58	14981	86590
59	15155	85880
60	15391	85536
61	15573	84901
62	15725	84119
63	15888	83412
64	16066	82804
65	16238	82174
66	16405	81536
67	16549	80798
68	16750	80353
69	16918	79759
70	17098	79232
71	17243	78555
72	17396	77926
73	17544	77292
74	17687	76646
75	17820	75972
76	17968	75375
77	18113	74776
78	18372	74651
79	18514	74057
80	18721	73729
81	18950	73489
82	19109	72983
83	19274	72509
84	19412	71939
85	19557	71408
86	19696	70862
87	19826	70292
88	20037	70019
89	20188	69537
90	20341	69070
91	20483	68573
92	20616	68056
93	20755	67566
94	20888	67064
95	21044	66639
96	21184	66172
97	21336	65752
98	21475	65293
99	21603	64809
100	21761	64421
101	21894	63965
102	22052	63586
103	22178	63123
104	22320	62708
105	22459	62292
106	22662	62058
107	22790	61619
108	22921	61193
109	23061	60799
110	23209	60428
111	23462	60332
112	23588	59910
113	23746	59575
114	23891	59210
115	24039	58855
116	24218	58579
117	24365	58230
118	24505	57867
119	24647	57510
120	24775	57127
121	24906	56754
122	25058	56432
123	25205	56103
124	25372	55820
125	25499	55451
126	25730	55311
127	25952	55149
128	26257	55161
129	26457	54950
130	26606	54635
131	26839	54491
132	27054	54312
133	27291	54176
134	27483	53948
135	27663	53699
136	27823	53412
137	27989	53139
138	28170	52895
139	28412	52766
140	28597	52530
141	28772	52276
142	29396	52831
143	29556	52544
144	29926	52628
145	30260	52644
146	30451	52409
147	30640	52171
148	30802	51888
149	30955	51591
150	31132	51337
151	31310	51086
152	31473	50809
153	31611	50496
154	31784	50239
155	31949	49971
156	32084	49659
157	32241	49381
158	32385	49087
159	32529	48794
160	32874	48801
161	33155	48710
162	33444	48627
163	34087	49053
164	34312	48868
165	34546	48698
166	34862	48640
167	35055	48409
168	35384	48365
169	35600	48164
170	35965	48164
171	36274	48084
172	36737	48204
173	36973	48023
174	37199	47827
175	37412	47616
176	37604	47376
177	37828	47179
178	38007	46925
179	38332	46850
180	38512	46598
181	38695	46349
182	38907	46136
183	39082	45879
184	39268	45636
185	39451	45390
186	39634	45144
187	39948	45048
188	40132	44803
189	40400	44653
190	40608	44435
191	40793	44192
192	41078	44058
193	41270	43823
194	41450	43576
195	41653	43353
196	42126	43409
197	42481	43339
198	42760	43190
199	43098	43098
200	43306	42875
201	43475	42614
202	43630	42341
203	43813	42095
204	44090	41939
205	44261	41683
