iter	Passed	Remaining
0	89	53812
1	120	35884
2	149	29849
3	176	26366
4	205	24498
5	233	23068
6	259	21954
7	285	21134
8	312	20517
9	343	20246
10	371	19889
11	398	19504
12	425	19197
13	451	18879
14	477	18625
15	503	18379
16	528	18137
17	555	17962
18	581	17772
19	606	17598
20	632	17429
21	657	17270
22	683	17139
23	708	17002
24	734	16896
25	761	16817
26	786	16697
27	813	16615
28	838	16506
29	864	16424
30	889	16320
31	914	16226
32	939	16147
33	966	16089
34	993	16044
35	1019	15974
36	1045	15915
37	1071	15850
38	1099	15815
39	1126	15768
40	1151	15705
41	1177	15647
42	1204	15599
43	1231	15562
44	1258	15515
45	1288	15516
46	1321	15546
47	1362	15666
48	1403	15777
49	1454	15999
50	1502	16174
51	1555	16388
52	1601	16529
53	1646	16648
54	1694	16794
55	1741	16918
56	1782	16976
57	1828	17086
58	1883	17275
59	1923	17315
60	1961	17332
61	1995	17312
62	2031	17315
63	2066	17302
64	2101	17296
65	2138	17304
66	2176	17315
67	2214	17322
68	2249	17311
69	2287	17317
70	2335	17401
71	2374	17415
72	2420	17474
73	2476	17603
74	2528	17702
75	2574	17751
76	2615	17764
77	2657	17783
78	2703	17826
79	2746	17849
80	2787	17857
81	2833	17897
82	2875	17913
83	2917	17924
84	2954	17900
85	2988	17859
86	3024	17835
87	3060	17804
88	3095	17773
89	3127	17723
90	3159	17670
91	3190	17619
92	3224	17577
93	3259	17543
94	3294	17513
95	3335	17513
96	3376	17510
97	3422	17532
98	3479	17610
99	3703	18515
100	3744	18499
101	3782	18466
102	3819	18431
103	3857	18396
104	3893	18356
105	3933	18333
106	3975	18314
107	4016	18298
108	4062	18300
109	4105	18287
110	4146	18268
111	4195	18279
112	4237	18262
113	4280	18246
114	4334	18282
115	4383	18289
116	4426	18273
117	4468	18252
118	4508	18223
119	4549	18196
120	4589	18168
121	4631	18147
122	4668	18104
123	4708	18072
124	4743	18026
125	4808	18088
126	4870	18140
127	4916	18130
128	4963	18122
129	5000	18078
130	5040	18044
131	5074	17991
132	5109	17939
133	5141	17880
134	5173	17819
135	5205	17759
136	5239	17706
137	5272	17651
138	5307	17602
139	5341	17550
140	5376	17503
141	5412	17458
142	5449	17415
143	5486	17374
144	5522	17329
145	5560	17292
146	5599	17255
147	5635	17211
148	5669	17160
149	5706	17119
150	5744	17080
151	5778	17032
152	5812	16980
153	5850	16942
154	5884	16894
155	5923	16859
156	5960	16818
157	5996	16776
158	6030	16726
159	6066	16682
160	6103	16641
161	6141	16604
162	6178	16565
163	6213	16517
164	6247	16470
165	6284	16430
166	6325	16400
167	6383	16415
168	6451	16454
169	6493	16424
170	6534	16394
171	6576	16364
172	6610	16316
173	6650	16281
174	6686	16238
175	6719	16187
176	6753	16140
177	6790	16098
178	6826	16055
179	6864	16017
180	7012	16233
181	7078	16257
182	7123	16231
183	7161	16190
184	7195	16140
185	7230	16094
186	7278	16074
187	7387	16188
188	7616	16562
189	7657	16523
190	7696	16480
191	7787	16548
192	7832	16517
193	7882	16497
194	7929	16469
195	7983	16454
196	8023	16412
197	8064	16373
198	8116	16356
199	8185	16370
200	8407	16689
201	8453	16656
202	8491	16607
203	8529	16558
204	8566	16505
205	8600	16449
206	8639	16402
207	8675	16350
208	8716	16306
209	8752	16254
210	8791	16207
211	8829	16160
